branch,division,group_name,description,qty,total_amount
Stories Bir Hasan,HOT BAR SECTION,BLACK COFFEE,ESPRESSO,3313.0,500103.75
Stories Bir Hasan,HOT BAR SECTION,BLACK COFFEE,DOUBLE ESPRESSO,3200.0,498631.33
Stories Bir Hasan,HOT BAR SECTION,BLACK COFFEE,AMERICANO SMALL,902.0,176816.53
Stories Bir Hasan,HOT BAR SECTION,BLACK COFFEE,AMERICANO MEDIUM,657.0,152807.36
Stories Bir Hasan,HOT BAR SECTION,BLACK COFFEE,AMERICANO LARGE,334.0,88443.43
Stories Bir Hasan,HOT BAR SECTION,BLACK COFFEE,BLACK COFFEE SMALL,823.0,133384.23
Stories Bir Hasan,HOT BAR SECTION,BLACK COFFEE,BLACK COFFEE MEDIUM,307.0,62723.78
Stories Bir Hasan,HOT BAR SECTION,BLACK COFFEE,BLACK COFFEE LARGE,86.0,19908.92
Stories Bir Hasan,HOT BAR SECTION,BLACK COFFEE,SINGLE ESPRESSO MACC,32.0,5156.93
Stories Bir Hasan,HOT BAR SECTION,BLACK COFFEE,DOUBLE ESPRESSO MAC,35.0,6595.68
Stories Bir Hasan,HOT BAR SECTION,BLACK COFFEE,TRIPLE ESPRESSO,197.0,7654.17
Stories Bir Hasan,HOT BAR SECTION,BLACK COFFEE,SINGLE LONGO,49.0,8386.67
Stories Bir Hasan,HOT BAR SECTION,BLACK COFFEE,DOUBLE LONGO,124.0,22702.34
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,LATTE SMALL,2306.0,450232.62
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,LATTE MEDIUM,2972.0,692532.04
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CAPPUCCINO SMALL,761.0,156288.19
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CAPPUCCINO MEDIUM,727.0,173038.73
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,MOCHA SMALL,318.0,71402.39
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,MOCHA MEDIUM,309.0,83249.79
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,WHITE MOCHA SMALL,2803.0,516236.82
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,WHITE MOCHA MEDIUM,1880.0,494665.9
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CARAMEL MACHIATO SMALL,863.0,198199.66
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CARAMEL MACHIATO MEDIUM,886.0,238232.93
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SIGNATURE HOT CHOCOLATE SMALL,571.0,126013.54
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SIGNATURE HOT CHOCOLATE MEDIUM,449.0,122577.42
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,STEAMED MILK SMALL,37.0,3913.27
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,STEAMED MILK MEDIUM,12.0,2040.69
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,LATTE LARGE,643.0,178481.32
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,MOCHA LARGE,60.0,18357.75
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CAPPUCCINO LARGE,193.0,54282.16
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,STEAMED MILK LARGE,1.0,200.0
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,WHITE MOCHA LARGE,317.0,98680.75
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CARAMEL MACCHIATO LARGE,115.0,36413.12
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,MATCHA LATTE SMALL,299.0,58144.38
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,MATCHA LATTE MEDIUM,471.0,111569.05
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,MATCHA LATTE LARGE,101.0,28462.82
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,FLAT WHITE,2179.0,283608.31
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT SMALL,335.0,69481.29
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT MEDIUM,185.0,50738.26
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT LARGE,44.0,15241.14
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,TOFFEE NUT LATTE MEDIUM,319.0,86903.42
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,TOFFEE NUT LATTE SMALL,294.0,69249.85
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CLASSIC HOT CHOC SMALL,108.0,23802.17
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CLASSIC HOT CHOC MEDIUM,107.0,28729.95
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT TOFFEE NUT SMALL,5.0,1375.38
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT TOFFEE NUT MEDIUM,3.0,924.32
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CLASSIC HOT CHOC LARGE,26.0,8287.96
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SPANISH LATTE SMALL,768.0,174998.26
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SPANISH LATTE MEDIUM,578.0,176355.72
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SALTED CARAMEL LATTE SMALL,144.0,34067.75
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SALTED CARAMEL LATTE MEDIUM,221.0,62348.23
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SALTED CARAMEL LATTE LARGE,32.0,11130.93
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SIGNATURE HOT CHOCOLATE LARGE,106.0,33558.38
Stories Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,TOFFEE NUT LATTE LARGE,43.0,15054.95
Stories Bir Hasan,HOT BAR SECTION,TEA,ENGLISH BREAKFAST TEA MEDIUM,166.0,23935.89
Stories Bir Hasan,HOT BAR SECTION,TEA,EARL GREY LAVENDER TEA MEDIUM,72.0,10251.35
Stories Bir Hasan,HOT BAR SECTION,TEA,ORGANIC GREEN TEA MEDIUM,94.0,13557.06
Stories Bir Hasan,HOT BAR SECTION,TEA,SOUTHERN MINT HERBAL TEA MEDIUM,56.0,8577.03
