branch,service_type,category,section,product_desc,qty,revenue,total_cost,total_profit,cost_pct,profit_pct
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,1 SHOT DECAFE,404.0,0.0,3856.85,-3856.85,0.0,100.0
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,2 SHOT DECAFE,637.0,0.0,12162.45,-12162.45,0.0,100.0
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,3 SHOT DECAFE,113.0,0.0,3236.32,-3236.32,0.0,100.0
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD BANANA SAUCE LARGE,4.0,266.66,139.97,126.69,52.49,47.51
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD BANANA SAUCE MEDIUM,47.0,1487.38,822.34,665.04,55.29,44.71
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD BANANA SAUCE SMALL,28.0,893.73,489.91,403.82,54.82,45.18
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD CARAMEL DRIZZLE,700.0,23370.37,2349.38,21020.99,10.05,89.95
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD CARAMEL LARGE,313.0,10488.5,2690.19,7798.31,25.65,74.35
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD CARAMEL MEDIUM,1142.0,37584.33,8923.01,28661.32,23.74,76.26
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD CARAMEL SF LARGE,236.0,7889.52,3097.89,4791.63,39.27,60.73
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD CARAMEL SF MEDIUM,851.0,28513.0,8378.09,20134.91,29.38,70.62
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD CARAMEL SF SMALL,848.0,28567.21,5565.71,23001.5,19.48,80.52
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD CARAMEL SMALL,552.0,12662.44,2875.37,9787.07,22.71,77.29
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD CHOCOLATE DRIZZLE,227.0,7703.96,748.5,6955.46,9.72,90.28
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD FULL FAT MILK,20.0,0.0,67.12,-67.12,0.0,100.0
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD HAZELNUT LARGE,104.0,3530.54,1126.27,2404.27,31.9,68.1
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD HAZELNUT MEDIUM,324.0,10677.66,3189.78,7487.88,29.87,70.13
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD HAZELNUT SMALL,283.0,9072.88,1857.42,7215.46,20.47,79.53
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD MATCHA LARGE,3.0,186.19,139.62,46.57,74.99,25.01
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD MATCHA MEDIUM,1.0,54.05,37.23,16.82,68.88,31.12
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD MATCHA SMALL,4.0,180.18,111.7,68.48,61.99,38.01
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD MOCHA LARGE,42.0,1434.75,830.94,603.81,57.92,42.08
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD MOCHA MEDIUM,70.0,2373.27,1038.67,1334.6,43.77,56.23
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD MOCHA SMALL,25.0,622.25,247.3,374.95,39.74,60.26
Stories Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,ADD RASPBERRY SAUCE LARGE,26.0,1746.66,819.66,927.0,46.93,53.07
