rank,branch,total_by_year,revenue_share_pct,cumulative_revenue_share_pct
1,Stories Ain El Mreisseh,119612862.02,12.993,12.993
2,Stories Zalka,107969194.27,11.728,24.722
3,Stories Khaldeh,84155611.99,9.142,33.863
4,Stories Ramlet El Bayda,56084689.92,6.092,39.956
5,Stories Saida,55006289.81,5.975,45.931
6,Stories Batroun,54073464.51,5.874,51.805
7,Stories Bayada,52643538.48,5.719,57.523
8,Stories Le Mall,46870516.59,5.091,62.615
9,Stories Airport,39428277.6,4.283,66.898
10,Stories Centro Mall,37541717.86,4.078,70.976
11,Stories Bir Hasan,34357224.24,3.732,74.708
12,Stories Antelias,30629228.94,3.327,78.035
13,Stories Aley,30496225.61,3.313,81.348
14,Stories Jbeil,27162174.22,2.951,84.298
15,Stories Mansourieh,27000571.83,2.933,87.231
16,Stories Verdun,25136394.81,2.731,89.962
17,Stories Sour 2,23441809.54,2.546,92.508
18,Stories Lau,16043692.82,1.743,94.251
19,Stories Unknown,13905863.33,1.511,95.762
20,Stories Faqra,10977393.51,1.192,96.954
21,Stories Sin El Fil,10298525.55,1.119,98.073
22,Stories Amioun,9766064.29,1.061,99.134
23,Stories Raouche,4556196.71,0.495,99.629
24,Stories Kaslik,2820553.76,0.306,99.935
25,Stories Event Starco,597312.31,0.065,100.0
