group_name,qty,sales
FROZEN YOGHURT,587199.275,183438027.74
MIXED COLD BEVERAGES,553107.92,130257997.31
MIXED HOT BEVERAGE,575858.05,128943177.51
BLENDED BRINKS,362336.0,90971823.56
BLACK COFFEE,305005.5,54951767.74
SUB SANDWICHES,148206.0,40046453.26
SOFT DRINKS,683507.5,36326270.9
COFFEE PASTRY,121505.0,32505523.88
CINNAMONS,101816.0,29994257.9
ADD SYRUP,597797.95,18334625.97
FRENCH PASTRY,55858.0,16020667.19
CROISSANT,65244.0,13419653.28
NOT USED,46774.05,9894715.47
REPLACE,293063.1,9402956.45
LUXURY TOPPINGS,89531.0,9178734.37
TEA,48689.0,7462168.84
COOKIES,19349.0,6088339.94
SALADS BAR,7439.0,5527214.42
TOPPINGS,75447.0,5142292.58
ICE TEA,26530.0,4646499.86
SALADS,9731.0,4503221.97
PACKAGED FOOD,30458.0,4296186.9
DONUTS,12865.0,2590876.23
FRUITS,8559.0,2579715.99
PACKAGED DESSERT,6035.0,2233637.78
ADD ONS,15565.6,1764456.06
PLAT DU JOUR,1522.0,960261.24
HEALTHY SECTION,1490.0,656781.99
BEANS,1141.125,611269.61
SPECIALTY YOGHURT,2013.0,184773.83
