product_desc,qty,revenue,profit,margin_pct
VEGGIE SUB,31562.0,134662.0,-1763692.35,-1309.72
LABNEH SUB,11399.0,880029.74,-1297.6,-0.15
PISTACHIO CRUNCH,28293.5,2906650.7,768727.51,26.45
FREEZE DROPS STRAWBERRY,11033.0,2210998.28,710068.96,32.12
FONDANT AU CHOCOLAT,11019.0,3896718.0,1595583.51,40.95
LAZY CAKE,23795.0,7627431.09,4078010.26,53.47
REPLACE COCONUT MEDIUM,16265.5,1584267.23,853620.16,53.88
CHOCOLATE CRUNCH,26073.5,2695579.51,1456661.6,54.04
BLUEBERRIES,10008.0,706947.54,408375.56,57.77
ICED PEACH TEA SMALL,12065.0,1016926.57,589530.48,57.97
BROWNIES CAKE,14678.0,2331118.82,1367752.76,58.67
THYME CROISSANT,11032.0,2089435.71,1233720.21,59.05
BROWN PESTO HALLOUMI SUB,13969.5,4591387.65,2739046.2,59.66
