product_desc,qty,revenue,profit,margin_pct
REPLACE LACTOSE FREE MEDIUM,41229.0,0.0,-538124.36,0.0
REPLACE LACTOSE FREE SMALL,30458.5,0.0,-283962.06,0.0
REPLACE LACTOSE FREE LARGE,6925.5,0.0,-116218.55,0.0
REPLACE LACTOSE FREE,1082.0,0.0,-14122.35,0.0
ADD FULL FAT MILK,1548.0,0.0,-5195.46,0.0
ADD SKIMMED MILK,1312.0,0.0,-4403.4,0.0
REPLACE SKIMMED MILK LARGE,12317.0,0.0,0.0,0.0
REPLACE SKIMMED MILK MEDIUM,65117.5,0.0,0.0,0.0
REPLACE SKIMMED MILK SMALL,46469.0,0.0,0.0,0.0
ADD PARMESAN,1.0,66.67,37.79,56.68
ADD TURKEY,2.0,126.73,106.87,84.33
ADD MUSHROOM,2.0,126.73,107.5,84.83
ADD BANANA SAUCE,20.0,600.6,250.67,41.74
ADD PEPPERONI,7.0,466.67,284.12,60.88
ADD MATCHA SMALL,37.0,1711.22,678.06,39.62
ADD MOZZARELLA CHEESE,15.0,986.79,733.28,74.31
ADD BOMBAY CHAI TEA BAG,47.0,1851.08,831.32,44.91
ADD MATCHA LARGE,64.0,3914.11,935.55,23.9
ADD LEMONGRASS&ORANGE TEA BAG,43.0,1755.57,997.51,56.82
ADD SOUTHERN MINT HERBAL TEA BAG,63.0,2339.78,1205.35,51.52
ADD SHOT,118039.5,3906147.49,2860258.46,73.22
REPLACE ALMOND MEDIUM,20056.5,2404305.78,1531708.75,63.71
REPLACE 1 SHOT YIRGACHEFFE,22952.0,1514767.69,1471629.39,97.15
ADD CARAMEL MEDIUM,44382.5,1414624.95,1067842.65,75.49
ADD VANILLA SF MEDIUM,42327.5,1343414.14,926699.87,68.98
ADD VANILLA MEDIUM,37080.5,1177994.05,888265.86,75.4
REPLACE COCONUT MEDIUM,16265.5,1584267.23,853620.16,53.88
REPLACE 2 SHOT YIRGACHEFFE,13884.0,895687.14,843497.18,94.17
REPLACE ALMOND SMALL,13306.5,1246557.34,833039.37,66.83
ADD VANILLA SF SMALL,25140.5,785620.8,620615.33,79.0
ADD WHITE MOCHA MEDIUM,24367.0,776519.89,619498.97,79.78
REPLACE COCONUT SMALL,9855.9,905388.99,589155.05,65.07
REPLACE SUGAR FREE OAT MEDIUM,6164.0,782696.47,575817.23,73.57
ADD CARAMEL SMALL,23603.0,681057.26,558109.34,81.95
ADD VANILLA SMALL,21267.5,628717.41,517935.1,82.38
ADD CARAMEL SF MEDIUM,22660.0,723983.52,500895.79,69.19
ADD CARAMEL DRIZZLE,16106.0,522929.47,468873.7,89.66
ADD CARAMEL SF SMALL,14605.45,464326.36,368465.91,79.35
ADD WHITE MOCHA SMALL,31461.5,495337.68,360179.08,72.71
ADD SMOKED TURKEY,5374.1,548419.07,334988.93,61.08
