product_desc,qty,revenue,profit,margin_pct
MANGO YOGHURT COMBO SMALL,93741.7,31259376.37,25161777.8,80.49
ORIGINAL YOGHURT COMBO SMALL,96078.8,32499922.78,25139507.04,77.35
WATER,588369.0,22832084.89,20135344.5,88.19
CLASSIC CINNAMON ROLL LARGE,81170.0,24084228.31,20003165.71,83.06
BLUEBERRY YOGHURT COMBO SMALL,62841.4,21205676.39,17146590.98,80.86
ICED LATTE MEDIUM,85572.0,19915187.98,16406854.46,82.38
CHOCOLATE YOGHURT COMBO SMALL,52718.35,17418711.81,14392965.31,82.63
CARAMEL FRAPP MEDIUM,72364.0,19442628.76,14303681.04,73.57
LATTE MEDIUM,78085.0,17880844.08,13894000.19,77.7
LATTE SMALL,77657.0,15043102.38,12337496.82,82.01
MANGO YOGHURT COMBO MEDIUM,37105.85,14823945.8,11652283.21,78.6
DOUBLE ESPRESSO,67772.0,12627142.78,11204821.62,88.74
ICED SPANISH LATTE MEDIUM,45164.0,13263892.95,10746817.32,81.02
ORIGINAL YOGHURT COMBO MEDIUM,33206.65,13330624.16,9980366.95,74.87
ICED WHITE MOCHA MEDIUM,42936.5,11513199.84,9605875.03,83.43
ESPRESSO,53449.0,8425556.1,7795089.0,92.52
BLUEBERRY YOGHURT COMBO MEDIUM,24281.55,9722101.56,7661317.14,78.8
BLACK COFFEE SMALL,66756.5,10902221.38,7446454.79,68.3
WHITE MOCHA MEDIUM,37703.0,9861614.63,7359558.97,74.63
ICED LATTE SMALL,42300.0,8261731.25,7219041.73,87.38
ICED MATCHA LATTE MEDIUM,40449.0,9466730.66,6856268.88,72.42
ICED CARAMEL MACCHIATO MEDIUM,29563.0,7945568.59,6445208.67,81.12
CAPPUCCINO SMALL,37546.0,7416026.66,6233920.53,84.06
BROWN TURKEY & CHEESE SUB,22242.0,8786760.99,6151880.97,70.01
CAPPUCCINO MEDIUM,32619.0,7475963.91,6029466.43,80.65
