branch,cluster_id,cluster_label,annual_sales_2025,annual_profit_2025,overall_margin_pct,beverage_share_pct,food_share_pct,dominant_group,dominant_group_share_pct,dessert_share_pct,takeaway_share_pct,table_share_pct,cv_pct,peak_to_trough_ratio,anomaly_count_2025,predicted_jan_runrate_yoy_pct
Stories Event Starco,1,Seasonal/Tourist Branch,597312.31,453633.35,75.97,78.16,21.84,MIXED HOT BEVERAGE,31.37,16.13,100.0,0.0,325.22,0.0,3,-150.0
Stories Amioun,2,Commuter Grab-and-Go,9766064.29,6855608.47,70.33,53.44,46.56,MIXED HOT BEVERAGE,19.37,18.53,98.82,1.18,173.79,0.0,0,-150.0
Stories Antelias,2,Commuter Grab-and-Go,30629228.94,20005039.63,70.07,50.14,49.86,FROZEN YOGHURT,29.04,29.73,100.0,0.0,26.92,4.653,4,-13.74
Stories Bir Hasan,2,Commuter Grab-and-Go,34357224.24,22261437.45,71.66,59.28,40.72,FROZEN YOGHURT,19.39,20.01,100.0,0.0,28.43,5.103,3,-12.58
Stories Centro Mall,2,Commuter Grab-and-Go,37541717.86,24047788.91,71.53,61.12,38.88,FROZEN YOGHURT,22.25,23.33,100.0,0.0,30.91,4.66,4,-12.25
Stories Faqra,2,Commuter Grab-and-Go,10977393.51,7983379.75,73.12,61.54,38.46,FROZEN YOGHURT,28.61,28.86,100.0,0.0,90.89,0.0,5,-91.34
Stories Jbeil,2,Commuter Grab-and-Go,27162174.22,19735837.02,72.78,52.36,47.64,FROZEN YOGHURT,20.44,21.17,100.0,0.0,158.83,0.0,1,-150.0
Stories Kaslik,2,Commuter Grab-and-Go,2820553.76,1974353.93,70.03,54.34,45.66,FROZEN YOGHURT,20.47,21.56,99.97,0.03,225.61,0.0,1,-150.0
Stories Lau,2,Commuter Grab-and-Go,16043692.82,10873275.91,70.39,50.32,49.68,FROZEN YOGHURT,31.08,31.69,100.0,0.0,43.09,5.912,7,-29.88
Stories Mansourieh,2,Commuter Grab-and-Go,27000571.83,18862639.0,70.54,49.13,50.87,FROZEN YOGHURT,25.8,26.06,100.0,0.0,118.63,0.0,5,-135.69
Stories Raouche,2,Commuter Grab-and-Go,4556196.71,3220788.02,70.73,62.32,37.68,MIXED HOT BEVERAGE,25.14,19.5,100.0,0.0,230.96,0.0,1,-150.0
Stories Saida,2,Commuter Grab-and-Go,55006289.81,35001069.52,70.5,53.78,46.22,FROZEN YOGHURT,25.6,26.22,100.0,0.0,34.38,5.489,3,-26.34
Stories Sin El Fil,2,Commuter Grab-and-Go,10298525.55,7173689.79,69.7,50.36,49.64,FROZEN YOGHURT,16.7,17.59,100.0,0.0,176.9,0.0,1,-150.0
Stories Sour 2,2,Commuter Grab-and-Go,23441809.54,13812530.46,73.25,57.02,42.98,FROZEN YOGHURT,23.83,24.41,89.02,10.98,105.12,0.0,0,-124.78
Stories Unknown,2,Commuter Grab-and-Go,13905863.33,9857950.16,69.74,55.35,44.65,FROZEN YOGHURT,27.46,28.41,100.0,0.0,106.97,0.0,5,-106.28
Stories Verdun,2,Commuter Grab-and-Go,25136394.81,16022429.87,72.3,58.71,41.29,FROZEN YOGHURT,29.2,29.76,100.0,0.0,43.12,7.741,4,-32.54
Stories Airport,3,Premium Beverage-Focused,39428277.6,26205643.82,71.86,64.31,35.69,BLENDED BRINKS,20.94,16.63,0.0,100.0,106.59,0.0,5,-108.04
Stories Aley,3,Premium Beverage-Focused,30496225.61,18579745.02,70.9,61.17,38.83,FROZEN YOGHURT,19.4,19.62,0.0,100.0,109.92,0.0,1,-115.42
Stories Batroun,4,Social/Dessert Branch,54073464.51,34641641.72,71.11,62.73,37.27,FROZEN YOGHURT,18.65,19.13,0.0,100.0,31.09,5.149,4,-11.59
Stories Bayada,4,Social/Dessert Branch,52643538.48,34030573.38,71.03,56.22,43.78,FROZEN YOGHURT,21.64,22.08,0.0,100.0,27.65,4.646,4,-15.0
Stories Le Mall,4,Social/Dessert Branch,46870516.59,29889305.75,70.34,48.81,51.19,FROZEN YOGHURT,30.92,31.25,0.0,100.0,30.41,5.634,4,-24.26
Stories Ain El Mreisseh,5,"High Volume, Low Margin",119612862.02,77771419.02,71.61,60.81,39.19,FROZEN YOGHURT,18.35,18.97,78.82,21.18,26.32,4.518,3,-23.35
Stories Khaldeh,5,"High Volume, Low Margin",84155611.99,53571236.5,70.88,60.71,39.29,MIXED HOT BEVERAGE,17.54,17.89,100.0,0.0,29.87,4.713,4,-17.19
Stories Ramlet El Bayda,5,"High Volume, Low Margin",56084689.92,36073449.84,72.31,59.8,40.2,MIXED COLD BEVERAGES,16.66,15.71,100.0,0.0,52.58,0.0,5,-48.11
Stories Zalka,5,"High Volume, Low Margin",107969194.27,69324229.68,70.5,54.73,45.27,FROZEN YOGHURT,22.14,22.9,100.0,0.0,26.0,4.464,3,-23.88
