year,branch,month,month_num,sales_2025,seasonality_index_2025,trend_component,forecast_raw,jan_actual_runrate,jan_anchor_ratio,forecast_calibrated,forecast_final
2026,Stories Ain El Mreisseh,January,1,12648546.67,1.2689,11524092.86,11524092.86,8945324.65,0.7762,8945324.65,8945324.65
2026,Stories Ain El Mreisseh,February,2,9929973.33,0.9962,9047200.26,9047200.26,8945324.65,0.7762,7022691.03,7022691.03
2026,Stories Ain El Mreisseh,March,3,9849926.67,0.9882,8974269.73,8974269.73,8945324.65,0.7762,6966080.3,6966080.3
2026,Stories Ain El Mreisseh,April,4,13025923.33,1.3068,11867920.79,11867920.79,8945324.65,0.7762,9212213.55,9212213.55
2026,Stories Ain El Mreisseh,May,5,7208975.0,0.7232,6568098.25,6568098.25,8945324.65,0.7762,5098342.4,5098342.4
2026,Stories Ain El Mreisseh,June,6,2883403.33,0.2893,2627069.23,2627069.23,8945324.65,0.7762,2039204.94,2039204.94
2026,Stories Ain El Mreisseh,July,7,11889329.16,1.1928,10832369.66,10832369.66,8945324.65,0.7762,8408389.67,8408389.67
2026,Stories Ain El Mreisseh,August,8,11610097.92,1.1648,10577962.04,10577962.04,8945324.65,0.7762,8210911.33,8210911.33
2026,Stories Ain El Mreisseh,September,9,11021123.75,1.1057,10041347.58,10041347.58,8945324.65,0.7762,7794376.11,7794376.11
2026,Stories Ain El Mreisseh,October,10,10516783.81,1.0551,9581843.38,9581843.38,8945324.65,0.7762,7437696.04,7437696.04
2026,Stories Ain El Mreisseh,November,11,9387782.61,0.9418,8553210.21,8553210.21,8945324.65,0.7762,6639242.07,6639242.07
2026,Stories Ain El Mreisseh,December,12,9640996.43,0.9672,8783913.36,8783913.36,8945324.65,0.7762,6818320.34,6818320.34
2026,Stories Airport,January,1,0.0,0.0,0.0,0.0,6601011.22,1.0,0.0,0.0
2026,Stories Airport,February,2,0.0,0.0,0.0,0.0,6601011.22,1.0,0.0,0.0
2026,Stories Airport,March,3,0.0,0.0,0.0,0.0,6601011.22,1.0,0.0,0.0
2026,Stories Airport,April,4,0.0,0.0,0.0,0.0,6601011.22,1.0,0.0,0.0
2026,Stories Airport,May,5,0.0,0.0,0.0,0.0,6601011.22,1.0,0.0,0.0
2026,Stories Airport,June,6,8428.83,0.0026,8428.83,8428.83,6601011.22,1.0,8428.83,8428.83
2026,Stories Airport,July,7,2940003.01,0.8948,2940003.01,2940003.01,6601011.22,1.0,2940003.01,2940003.01
2026,Stories Airport,August,8,6963426.45,2.1193,6963426.45,6963426.45,6601011.22,1.0,6963426.45,6963426.45
2026,Stories Airport,September,9,7467197.62,2.2726,7467197.62,7467197.62,6601011.22,1.0,7467197.62,7467197.62
2026,Stories Airport,October,10,8414672.7,2.561,8414672.7,8414672.7,6601011.22,1.0,8414672.7,8414672.7
2026,Stories Airport,November,11,7029720.14,2.1395,7029720.14,7029720.14,6601011.22,1.0,7029720.14,7029720.14
2026,Stories Airport,December,12,6604828.86,2.0102,6604828.86,6604828.86,6601011.22,1.0,6604828.86,6604828.86
2026,Stories Aley,January,1,0.0,0.0,0.0,0.0,3063065.75,1.0,0.0,0.0
2026,Stories Aley,February,2,0.0,0.0,0.0,0.0,3063065.75,1.0,0.0,0.0
2026,Stories Aley,March,3,0.0,0.0,0.0,0.0,3063065.75,1.0,0.0,0.0
2026,Stories Aley,April,4,0.0,0.0,0.0,0.0,3063065.75,1.0,0.0,0.0
2026,Stories Aley,May,5,0.0,0.0,0.0,0.0,3063065.75,1.0,0.0,0.0
2026,Stories Aley,June,6,0.0,0.0,0.0,0.0,3063065.75,1.0,0.0,0.0
2026,Stories Aley,July,7,4219344.76,1.6603,4219344.76,4219344.76,3063065.75,1.0,4219344.76,4219344.76
2026,Stories Aley,August,8,8565845.07,3.3706,8565845.07,8565845.07,3063065.75,1.0,8565845.07,8565845.07
2026,Stories Aley,September,9,5397295.51,2.1238,5397295.51,5397295.51,3063065.75,1.0,5397295.51,5397295.51
2026,Stories Aley,October,10,4503168.48,1.772,4503168.48,4503168.48,3063065.75,1.0,4503168.48,4503168.48
2026,Stories Aley,November,11,4071091.3,1.6019,4071091.3,4071091.3,3063065.75,1.0,4071091.3,4071091.3
2026,Stories Aley,December,12,3739480.5,1.4715,3739480.5,3739480.5,3063065.75,1.0,3739480.5,3739480.5
2026,Stories Amioun,January,1,0.0,0.0,0.0,0.0,2808770.97,1.0,0.0,0.0
2026,Stories Amioun,February,2,0.0,0.0,0.0,0.0,2808770.97,1.0,0.0,0.0
2026,Stories Amioun,March,3,0.0,0.0,0.0,0.0,2808770.97,1.0,0.0,0.0
2026,Stories Amioun,April,4,0.0,0.0,0.0,0.0,2808770.97,1.0,0.0,0.0
2026,Stories Amioun,May,5,0.0,0.0,0.0,0.0,2808770.97,1.0,0.0,0.0
2026,Stories Amioun,June,6,0.0,0.0,0.0,0.0,2808770.97,1.0,0.0,0.0
2026,Stories Amioun,July,7,0.0,0.0,0.0,0.0,2808770.97,1.0,0.0,0.0
2026,Stories Amioun,August,8,0.0,0.0,0.0,0.0,2808770.97,1.0,0.0,0.0
2026,Stories Amioun,September,9,0.0,0.0,0.0,0.0,2808770.97,1.0,0.0,0.0
2026,Stories Amioun,October,10,3582319.53,4.4018,3582319.53,3582319.53,2808770.97,1.0,3582319.53,3582319.53
2026,Stories Amioun,November,11,3115747.75,3.8285,3115747.75,3115747.75,2808770.97,1.0,3115747.75,3115747.75
2026,Stories Amioun,December,12,3067997.01,3.7698,3067997.01,3067997.01,2808770.97,1.0,3067997.01,3067997.01
2026,Stories Antelias,January,1,2615854.33,1.0248,2478309.59,2478309.59,2014146.94,0.8127,2014146.94,2014146.94
2026,Stories Antelias,February,2,2139010.67,0.838,2026538.94,2026538.94,2014146.94,0.8127,1646988.42,1646988.42
2026,Stories Antelias,March,3,3162716.67,1.2391,2996417.26,2996417.26,2014146.94,0.8127,2435218.21,2435218.21
2026,Stories Antelias,April,4,3391741.33,1.3288,3213399.53,3213399.53,2014146.94,0.8127,2611561.87,2611561.87
2026,Stories Antelias,May,5,2033635.67,0.7967,1926704.68,1926704.68,2014146.94,0.8127,1565852.13,1565852.13
2026,Stories Antelias,June,6,728978.33,0.2856,690647.78,690647.78,2014146.94,0.8127,561296.34,561296.34
2026,Stories Antelias,July,7,2963696.71,1.1611,2807862.0,2807862.0,2014146.94,0.8127,2281977.48,2281977.48
2026,Stories Antelias,August,8,3182363.97,1.2468,3015031.48,3015031.48,2014146.94,0.8127,2450346.18,2450346.18
2026,Stories Antelias,September,9,2909965.47,1.1401,2756956.02,2756956.02,2014146.94,0.8127,2240605.67,2240605.67
2026,Stories Antelias,October,10,2715152.86,1.0637,2572386.89,2572386.89,2014146.94,0.8127,2090604.5,2090604.5
2026,Stories Antelias,November,11,2551353.16,0.9996,2417199.97,2417199.97,2014146.94,0.8127,1964482.54,1964482.54
2026,Stories Antelias,December,12,2234759.77,0.8755,2117253.44,2117253.44,2014146.94,0.8127,1720713.0,1720713.0
2026,Stories Batroun,January,1,4266517.33,0.9468,4696328.32,4696328.32,4000975.7,0.8519,4000975.7,4000975.7
2026,Stories Batroun,February,2,3388117.33,0.7519,3729437.89,3729437.89,4000975.7,0.8519,3177246.0,3177246.0
2026,Stories Batroun,March,3,4890198.33,1.0852,5382839.24,5382839.24,4000975.7,0.8519,4585839.73,4585839.73
2026,Stories Batroun,April,4,5516881.67,1.2243,6072654.96,6072654.96,4000975.7,0.8519,5173519.24,5173519.24
2026,Stories Batroun,May,5,2963980.33,0.6578,3262573.12,3262573.12,4000975.7,0.8519,2779506.65,2779506.65
2026,Stories Batroun,June,6,1311240.0,0.291,1443334.94,1443334.94,4000975.7,0.8519,1229630.39,1229630.39
