branch,month,month_num,actual_sales,trend_walkforward_pred,naive_last_month_pred,moving_avg_3_pred
Stories Ain El Mreisseh,April,4,13025923.33,8010862.22,9849926.67,10809482.22
Stories Ain El Mreisseh,May,5,7208975.0,11626613.33,13025923.33,10935274.44
Stories Ain El Mreisseh,June,6,2883403.33,8197711.0,7208975.0,10028275.0
Stories Ain El Mreisseh,July,7,11889329.16,3876519.89,2883403.33,7706100.55
Stories Ain El Mreisseh,August,8,11610097.92,6917761.9,11889329.16,7327235.83
Stories Ain El Mreisseh,September,9,11021123.75,8584939.04,11610097.92,8794276.8
Stories Ain El Mreisseh,October,10,10516783.81,9379724.94,11021123.75,11506850.28
Stories Ain El Mreisseh,November,11,9387782.61,9708997.94,10516783.81,11049335.16
Stories Ain El Mreisseh,December,12,9640996.43,9528663.21,9387782.61,10308563.39
Stories Airport,April,4,0.0,0.0,0.0,0.0
Stories Airport,May,5,0.0,0.0,0.0,0.0
Stories Airport,June,6,8428.83,0.0,0.0,0.0
Stories Airport,July,7,2940003.01,5619.22,8428.83,2809.61
Stories Airport,August,8,6963426.45,1683614.08,2940003.01,982810.61
Stories Airport,September,9,7467197.62,4639122.64,6963426.45,3303952.76
Stories Airport,October,10,8414672.7,6651631.6,7467197.62,5790209.03
Stories Airport,November,11,7029720.14,8300973.12,8414672.7,7615098.92
Stories Airport,December,12,6604828.86,8878990.26,7029720.14,7637196.82
Stories Aley,April,4,0.0,0.0,0.0,0.0
Stories Aley,May,5,0.0,0.0,0.0,0.0
Stories Aley,June,6,0.0,0.0,0.0,0.0
Stories Aley,July,7,4219344.76,0.0,0.0,0.0
Stories Aley,August,8,8565845.07,2411054.15,4219344.76,1406448.25
Stories Aley,September,9,5397295.51,5940522.26,8565845.07,4261729.94
Stories Aley,October,10,4503168.48,6664060.05,5397295.51,6060828.45
Stories Aley,November,11,4071091.3,6728460.2,4503168.48,6155436.35
Stories Aley,December,12,3739480.5,6573034.2,4071091.3,4657185.1
Stories Amioun,April,4,0.0,0.0,0.0,0.0
Stories Amioun,May,5,0.0,0.0,0.0,0.0
Stories Amioun,June,6,0.0,0.0,0.0,0.0
Stories Amioun,July,7,0.0,0.0,0.0,0.0
Stories Amioun,August,8,0.0,0.0,0.0,0.0
Stories Amioun,September,9,0.0,0.0,0.0,0.0
Stories Amioun,October,10,3582319.53,0.0,0.0,0.0
Stories Amioun,November,11,3115747.75,1432927.81,3582319.53,1194106.51
Stories Amioun,December,12,3067997.01,2240261.58,3115747.75,2232689.09
Stories Antelias,April,4,3391741.33,3186056.23,3162716.67,2639193.89
Stories Antelias,May,5,2033635.67,3665172.5,3391741.33,2897822.89
Stories Antelias,June,6,728978.33,2695079.74,2033635.67,2862697.89
Stories Antelias,July,7,2963696.71,1393174.8,728978.33,2051451.78
Stories Antelias,August,8,3182363.97,2018573.6,2963696.71,1908770.24
Stories Antelias,September,9,2909965.47,2496696.69,3182363.97,2291679.67
Stories Antelias,October,10,2715152.86,2673582.14,2909965.47,3018675.38
Stories Antelias,November,11,2551353.16,2710972.12,2715152.86,2935827.43
Stories Antelias,December,12,2234759.77,2675958.05,2551353.16,2725490.5
Stories Batroun,April,4,5516881.67,4805292.0,4890198.33,4181611.0
Stories Batroun,May,5,2963980.33,5828722.17,5516881.67,4598399.11
Stories Batroun,June,6,1311240.0,4062246.1,2963980.33,4457020.11
Stories Batroun,July,7,6135003.02,2180611.07,1311240.0,3264034.0
Stories Batroun,August,8,6751770.29,3999631.77,6135003.02,3470074.45
Stories Batroun,September,9,5041150.76,5358754.05,6751770.29,4732671.1
Stories Batroun,October,10,4372225.54,5429994.92,5041150.76,5975974.69
Stories Batroun,November,11,4272667.88,5198111.51,4372225.54,5388382.2
Stories Batroun,December,12,5163712.03,4995114.38,4272667.88,4562014.73
Stories Bayada,April,4,5196906.67,4919300.0,5083386.67,4333290.0
Stories Bayada,May,5,3043400.0,5489911.67,5196906.67,4566466.67
Stories Bayada,June,6,1208190.0,3908989.33,3043400.0,4441231.11
Stories Bayada,July,7,5448609.92,1995441.11,1208190.0,3149498.89
Stories Bayada,August,8,5613038.75,3469836.62,5448609.92,3233399.97
Stories Bayada,September,9,4917258.26,4412576.25,5613038.75,4089946.22
Stories Bayada,October,10,5224336.34,4686618.1,4917258.26,5326302.31
Stories Bayada,November,11,4588470.28,4985089.61,5224336.34,5251544.45
Stories Bayada,December,12,4403458.27,4953578.69,4588470.28,4910021.63
Stories Bir Hasan,April,4,3459979.67,1731928.56,2266050.67,2821583.22
Stories Bir Hasan,May,5,2125379.33,2915152.34,3459979.67,2856341.34
Stories Bir Hasan,June,6,744638.33,2256921.93,2125379.33,2617136.56
Stories Bir Hasan,July,7,3799740.25,1064366.26,744638.33,2109999.11
Stories Bir Hasan,August,8,3783897.91,2227030.0,3799740.25,2223252.64
Stories Bir Hasan,September,9,3255935.75,2898132.62,3783897.91,2776092.16
Stories Bir Hasan,October,10,3128528.54,3079563.9,3255935.75,3613191.3
Stories Bir Hasan,November,11,2851287.1,3145410.96,3128528.54,3389454.07
Stories Bir Hasan,December,12,2743087.7,3087388.83,2851287.1,3078583.8
Stories Centro Mall,April,4,3937166.67,1763202.23,2218466.67,2809268.89
Stories Centro Mall,May,5,1955286.67,3414133.34,3937166.67,3033480.0
