year,month,month_num,sales_2025,forecast_sales_2026,forecast_yoy_pct
2026,January,1,67369943.87,52280972.78,-22.4
2026,February,2,57262019.67,45553790.01,-20.45
2026,March,3,64386929.0,52700628.91,-18.15
2026,April,4,81285568.0,66894086.22,-17.7
2026,May,5,44505440.67,36784672.37,-17.35
2026,June,6,18437385.5,15329389.83,-16.86
2026,July,7,89629757.34,78230626.42,-12.72
2026,August,8,109425311.8,97338606.67,-11.05
2026,September,9,91820788.32,82303693.23,-10.36
2026,October,10,102791676.08,93518888.83,-9.02
2026,November,11,96932101.85,88400976.69,-8.8
2026,December,12,96728472.45,88555347.12,-8.45
